Year,Class,Affiliations,Abstract,Keywords,Title,Tropical_disease_type,Machine_learning_techniques,Model,funding_details,funding_text,Authors_Region,Data_Region,Individual_Disease,Tropical_disease_type_cleaned,Tropical_disease_type_remapped,ml_harmonized,ml_result,ml_category
2024,Surveillance & Outbreak Monitoring,"Key Laboratory of Geographic Information Science, Ministry of Education, Shanghai, China; School of Geographic Sciences, East China Normal University, Shanghai, China; Minhang Center for Disease Prevention and Control, Shanghai, China; Key Laboratory of Spatial-Temporal Big Data Analysis and Application of Natural Resources in Megacities, Ministry of Natural Resources, Shanghai, China; Institute of Cartography, East China Normal University, Shanghai, China","Background: Dengue fever poses a significant global public health concern, necessitating the monitoring of Aedes mosquito population density. These mosquitoes serve as the disease vectors, making their surveillance crucial for dengue prevention. The objective of this study was to address the difficulty associated with identifying and counting mosquito eggs of wild strains during the monitoring of Aedes albopictus (Diptera: Culicidae) density via ovitraps in field surveys. Methods: We constructed a dataset comprising 1729 images of Ae. albopictus mosquito eggs from wild strains and employed the Segment Anything Model to enhance the applicability of the detection model in complex environments. A two-stage Faster Region-based Convolutional Neural Network model was used to establish a detection model for Ae. albopictus mosquito eggs. The identification and counting process involved applying the tile overlapping method, while morphological filtering was employed to remove impurities. The model’s performance was evaluated in terms of precision, recall, and F1 score, and counting accuracy was assessed using R-squared and root mean square error (RMSE). Results: The experimental results revealed the model’s remarkable identification capabilities, achieving precision of 0.977, recall of 0.978, and an F1 score of 0.977. The R-squared value between the actual and identified egg counts was 0.997, with an RMSE of 1.742. The average detection time for a single tile was 0.48 s, which was more than 10 times as fast as the human–computer interaction method in counting an entire image. Conclusions: The model demonstrated excellent performance in recognizing and counting Ae. albopictus mosquito eggs, indicating great application potential. This study offers novel technological support for enhancing vector control effectiveness and public health standards. © The Author(s) 2024.",Aedes albopictus; Egg identification and counting; Faster R-CNN; Mosquito eggs; Ovitraps; Segment Anything Model,Enhancing vector control: AI-based identification and counting of Aedes albopictus (Diptera: Culicidae) mosquito eggs,dengue fever,supervised learning,"Faster R-CNN, SAM","Minhang Public Health Key Discipline, (MGWXK2023-09); State Key Laboratory of Pathogen and Biosecurity, (SKLPBS2128); State Key Laboratory of Pathogen and Biosecurity",This research was funded by the Minhang Public Health Key Discipline (Grant No. MGWXK2023-09) and China State Key Laboratory of Pathogen and Biosecurity (SKLPBS2128). ,China,"Minhang District of Shanghai, China.",dengue fever,dengue fever,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,Diagnostics,"Facultad de Ingeniería Biomédica, Universidad CES, Medellín, Colombia; Instituto Colombiano de Medicina Tropical-Universidad CES, Medellín, Colombia; Centro de Investigaciones en Dermatología (CIDERM), Facultad de Medicina, Universidad de Antioquia, Clínica Vida, Medellín, Colombia","Introduction: Leprosy is a neglected infectious disease caused by Mycobacterium leprae and Mycobacterium lepromatosis and remains a public health challenge in tropical regions. Therefore, the development of technological tools such as machine learning (ML) offers an opportunity to innovate strategies for improving the diagnosis of this complex disease. Objective: To validate the utility of different ML models for the histopathological diagnosis of Hansen disease. Methodology: An observational study was conducted where 55 H&E-stained tissue slides from leprosy patients and 51 healthy skin controls were analyzed using microphotographs captured at various magnifications. These images were categorized based on histopathological findings and processed using the Cross-Industry Standard Process for Data Mining methodology for designing and training ML models. Five types of ML models were evaluated using standard metrics such as accuracy, sensitivity, and specificity, emphasizing data normalization as a fundamental step in optimizing model performance. Results: The artificial neural network (ANN) model demonstrated an accuracy of 70%, sensitivity of 74%, and specificity of 65%, demonstrating its ability to identify leprosy cases with moderate precision. The receiver operating characteristic curve of the ANN model showed an area under the curve of 0.71. Conversely, models such as decision trees, logistic regression, and random forests showed similar accuracy results but with slightly lower sensitivity, potentially indicating a higher risk of false negatives in detecting leprosy-positive cases. Conclusion: The ANN model emerges as a promising alternative for leprosy detection. However, further refinement of these models is necessary to enhance their adaptability across different clinical settings and participation in patient care. Copyright © 2024 Wolters Kluwer Health, Inc. All rights reserved.",algorithms; artificial intelligence; leprosy; Mycobacterium; pathology,Evaluating Advanced Machine Learning Models for Histopathological Diagnosis of Hansen Disease,leprosy,supervised learning,"Random Forest, LightGBM, CatBoost, and XGBoost, along with an Ensemble model that combined them.","World Health Organization, WHO; Ministry of Health of Colombia; Pan American Health Organization, PAHO, (008430); Pan American Health Organization, PAHO","This research was conducted following the international ethical standards given by the World Health Organization and the Pan American Health Organization, supported by the Declaration of Helsinki, promulgated in 1964, and the statutes given at the national level by resolution number 008430 of 1993 of the Ministry of Health of Colombia, which regulates health studies. In addition, it was endorsed by the Instituto Colombiano de Medicina Tropical- Universidad CES, Human Research Ethics Board (act No 90 of March 14, 2024). ",Brazil,nan,leprosy,leprosy,Leprosy,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,diagnostics,"Department of Mathematics, SSV (PG) College, Hapur, Chaudhary Charan Singh University, Meerut, India; Department of Mathematics (SOS) IFTM University, Lodhipur Rajput, Delhi Road, Meerut, Moradabad, 244102, India; Department of Mathematics, NAS College, Meerut, Chaudhary Charan Singh University, Meerut, India; Department of Mathematics, Chaudhary Charan Singh University, Meerut, 250004, India","Dengue fever is a serious public health issue worldwide, particularly in tropical and subtropical areas. Early detection and accurate diagnosis are essential for effective management and control of the disease. In this study, we present a fuzzy hybrid approach (F-TLBO-APSO) for the detection and diagnosis of dengue disease using an advanced teaching-learning technique with adaptive particle swarm optimization. The proposed method combines the strengths of fuzzy logic, teaching learning-based optimization (TLBO), and adaptive particle swarm optimization (APSO) to improve the accuracy and efficiency of dengue detection based on symptoms. A key challenge addressed is the management of uncertain information existing in the problem. To validate the proposed technique, we applied it to a case study, demonstrating its robustness. The results indicate the versatility of the F-TLBO-APSO algorithm and highlight its value in detecting dengue based on symptoms. Our numerical computations reveal the advantages of the F-TLBO-APSO algorithm compared to TLBO and APSO. © 2024 The Author(s)",Adaptive particle swarm optimization; Dengue disease; Fuzzy hybrid approach; Teaching learning technique,Fuzzy hybrid approach for advanced teaching learning technique with particle swarm optimization in the diagnostic of dengue disease,dengue fever,supervised learning,Fuzzy Hybrid Advanced TLBPSO (F-TLBO-APSO).,,,"India, United Arab Emirates","Lala Lajpat Rai Memorial Medical College in Meerut, India.",dengue fever,dengue fever,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,diagnostics,"REVA University, Karnataka, Banaglore, India; Central Leprosy Teaching and Research Institute, Tamil Nadu, Chengalpattu, India","The high pace of rising leprosy cases and resulting socio-stigma has alarmed academia-industries to achieve non-invasive, touchless, and vision-based computer aided diagnosis (CAD) solution for leprosy detection and classification. Unlike classical CAD systems, leprosy detection and classification has remained a least explored research area. Invasive and chemical assay-based leprosy detection approaches are often found time-consuming, complex, and limited to cope-up with real-world’s demand. Though, in the last few years every effort has been made towards vision-based leprosy detection and classification; however, limited data, inferior feature, high-annotation demands, and importantly low accuracy limit their suitability. Considering these facts as motivation, in this paper a highly robust Heuristic Driven Segmentation assisted hybrid deep-spatio-textural feature learning for leprosy detection and classification is developed. It emphasizes on both region of interest segmentation and its optimization, as well as feature improvement to achieve higher accuracy and reliability. Here, firefly heuristic driven Fuzzy C-Means clustering (FFCM) was developed to perform ROI specific segmentation, which was followed by a hybrid deep spatio-textural feature extraction process. Noticeably, FFCM at one hand enabled automatic and accurate ROI-segmentation. On the contrary, the use of hybrid features including descriptive spatio-textural textural statistics (i.e., Gray-level co-occurrence metrics) and 4096-dimensional AlexNet features provided an intrinsic feature rich vector to perform accurate leprosy classification. The ROI-specific hybrid features (i.e., GLCM and AlexNet features) were processed for two-class classification using ensemble random forest classifier that labelled each input skin lesion as the normal image or the leprosy detected. The proposed leprosy detection method exhibited superior performance (accuracy = 96.6%, precision = 99.7%, recall = 95.8%, F-score = 0.9771) over other state-of-art methods like GLCM (accuracy = 88.51%) and Convolutional Neural Network based methods (91%). It affirms its suitability of the proposed CAD model towards automated and touchless real-time leprosy diagnosis. © The Author(s), under exclusive licence to Springer Nature Singapore Pte Ltd. 2024.",AlexNet; Ensemble classification; GLCM; Heuristic-based lesion segmentation; Hybrid spatio-textural deep features; Leprosy detection and classification,Heuristic Segmentation Assisted Deep-Spatial Feature Learning Model for Leprosy Detection,leprosy,supervised learning,ensemble random forest classifier,REVA University; Central Leprosy Teaching and Research Institute,"The research work was made possible with the support of REVA University, Bengaluru, Karnataka, India and Central Leprosy Teaching and Research Institute, Chengalpattu, Tamil Nadu, India which provided the necessary facilities.",India,nan,leprosy,leprosy,Leprosy,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,outbreak monitoring,"Department of Computer Science and Engineering, Green University of Bangladesh, Kanchon, 1460, Bangladesh; Department of Mathematics, Shahjalal University of Science and Technology, Sylhet, 3114, Bangladesh; Department of Mathematics, University of Dhaka, Dhaka, 1000, Bangladesh; Department of Computer Science and Engineering, Shahjalal University of Science and Technology, Sylhet, 3114, Bangladesh","This article introduces a novel mathematical model analyzing the dynamics of Dengue in the recent past, specifically focusing on the 2023 outbreak of this disease. The model explores the patterns and behaviors of dengue fever in Bangladesh. Incorporating a sinusoidal function reveals significant mid-May to Late October outbreak predictions, aligning with the government's exposed data in our simulation. For different amplitudes (A) within a sequence of values (A = 0.1 to 0.5), the highest number of infected mosquitoes occurs in July. However, simulations project that when βM = 0.5 and A = 0.1, the peak of human infections occurs in late September. Not only the next-generation matrix approach along with the stability of disease-free and endemic equilibrium points are observed, but also a cutting-edge Machine learning (ML) approach such as the Prophet model is explored for forecasting future Dengue outbreaks in Bangladesh. Remarkably, we have fitted our solution curve of infection with the reported data by the government of Bangladesh. We can predict the outcome of 2024 based on the ML Prophet model situation of Dengue will be detrimental and proliferate 25 % compared to 2023. Finally, the study marks a significant milestone in understanding and managing Dengue outbreaks in Bangladesh. © 2024",Awareness; Basic reproduction number; Dengue; Machine learning; Prophet model; Time-series forecasting,Mathematical analysis and prediction of future outbreak of dengue on time-varying contact rate using machine learning approach,dengue,supervised learning,Prophet model,"World Health Organization, WHO","These visualizations serve as pivotal tools for comprehending the inherent trends and patterns within the collected data, providing invaluable insights that inform our modeling approach. The visualization shows that the number of dengue cases begins to rise from June to July in Bangladesh, coinciding with the onset of the rainy season, which supports the findings of WHO [38]. The findings also indicate that the dengue rate in Bangladesh starts to increase from June to July due to the monsoon season. The direct correlation between rainwater and the breeding of Dengue or Aedes mosquitoes [40] becomes apparent during this period. The peak of dengue cases occurs between August and October each year, according to this visualization. Although not exactly similar, it mostly aligns with the findings from (Hossain et al., 2023) [41], where they found that dengue in Bangladesh historically peaked during the monsoon and post-monsoon seasons. Previously, the peak was from August to September, but in recent times, especially from 2022, the peak is also observed in October, and the peak is shifting day by day due to climate change [41]. Furthermore, according to our visualization, a notable decline is observed, from 0 to 100 cases, in November and December, corresponding to the conclusion of the monsoon seasons and the commencement of winter, similar to the findings from (Islam et al., 2021) [42]. They showed a correlation between the rainy season and the dengue outbreak as the major factor for the dengue outbreak and a decrease in the dry winter season of the same year [42].","USA, Bangladesh",Bangladesh,dengue,dengue,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,surveillance,"Department of CS & IT, Kalinga University, Raipur, India","Dengue fever is a rapidly growing vector-borne viral illness that is posing a threat to an increasing number of areas worldwide. Numerous scientists have focused on various strategies to stop and limit the spread of illness. Additionally, the development of a variety of methods for ascertaining and predictive modeling through quantifiable, numerical analysis of machine learning (ML) is investigated. This research introduces a novel cubic-kernelized support vector machine with a bee optimizer (CSVM-BO) approach for dengue identification. The climate data is initially collected and preprocessed utilizing the decimal scale normalization method. In addition, we provide a feature extraction approach for linear discriminant analysis (LDA), which attempts to extract essential information for early identification and risk assessment. The findings demonstrate that the framework suggested in this research has considerable benefits in public health for dengue prediction and that our proposed CSVM-BO technique performs optimally in terms of latency (5 s), time complexity (0.62 s), and accuracy (98.57%). The problems identified by this thorough study offer a helpful foundation for epidemiology and public health research. © 2024, Jacobs Verlag. All rights reserved.",climate; Dengue prediction; illness; public health; risk assessment,Revolutionizing Public Health Surveillance: Computational Solution for Dengue Prediction,Dengue fever,supervised learning,"Cubic-kernelized Support Vector Machine with Bee Optimizer, LDA",,,India,Kaggle,Dengue fever,Dengue fever,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,surceillance,"College of Medicine and Health Sciences, School of Health Sciences, University of Rwanda, Kigali, Rwanda; Centre for International Development and Environmental Research (ZEU), Justus Liebig University Giessen, Germany; University of Global Health Equity (UGHE), Bill and Joyce Cummings Institute of Global Health, Kigali Heights, Kigali, Rwanda; School of Nursing and Public Health, Department of Public Health, College of Health Sciences, Howard College Campus, University of KwaZulu-Natal, Durban, South Africa; College of Science and Technology, Center for GIS, University of Rwanda, Kigali, Rwanda","Background Schistosomiasis is an important snail-borne parasitic disease whose transmission is exacerbated by water resource management activities. In Rwanda, meeting the growing population’s demand for food has led to wetlands reclamation for cultivation and increased agrochemical enrichment for crop production. However, the ecological consequences of agrochemical enrichment on schistosomiasis transmission remain unexplored. Methods A malacological survey was conducted in 71 villages selected from 15 schistosomiasis endemic districts. Snail sampling was done in wetlands used for agriculture, along lake Kivu and at constructed multipurpose water dams. Water physico-chemical parameters were collected at all snail sampling sites. Analysis of collected data was performed using Xgboost (gain) and Random Forest (mean decrease in accuracy), machine learning techniques, to construct models that evaluate and categorize the importance of all physico-chemical properties on the presence and abundance of intermediate host snails (IHS). Results Different sets of parameters were relevant for the presence and abundance of Biomphalaria spp. and/or Bulinus spp. snails. Electrical conductivity, elevation, magnesium and lead content were deemed to shape the presence and abundance of Bulinus spp. snails. The impact of phosphate ion concentration, ammonia ions, total nitrogen and total organic carbon levels mirrored their importance towards the presence and abundance of Biomphalaria spp. Factors such as pH, electric conductivity, total nitrogen content and total organic carbon influenced the coexistence of both species. Our study highlights the value of integrating a wide range of predictor variables, enabling effective variable selection to uncover important predictors of snail distribution. Conclusion The results suggest that agrochemical compounds can enhance the abundance of IHS leading to an increased risk of Schistosoma transmission. Snail surveillance could therefore be integrated into agricultural expansion projects in our match towards schistosomiasis elimination. Recognizing the impact of agrochemicals on IHS is crucial for minimizing schistosomiasis transmission among those working in wetlands while meeting the growing need for food. © 2024 Kagabo et al.",,Schistosomiasis transmission: A machine learning analysis reveals the importance of agrochemicals on snail abundance in Rwanda,Schistosomiasis,supervised learning,XGBoost and Random Forest,,,"Rwanda, Germany",Rwanda,Schistosomiasis,Schistosomiasis,Schistosomiasis,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,surveillance,"Human Nutrition Research Center, School of Nutrition, Faculty of Medical Sciences, National University of Córdoba, Córdoba, Argentina; Mario Gulich Institute for Higher Space Studies, National University of Córdoba, National Commission of Space Activities, Falda del Cañete, Córdoba, Argentina; National Council for Scientific and Technical Research, Buenos Aires, Argentina; Mundo Sano Foundation, Buonos Aires, Argentina","Argentina has a heterogeneous prevalence of infections by intestinal parasites (IPs), with the north in the endemic area, especially for soil-transmitted helminths (STHs). We analyzed the spatial patterns of these infections in the city of Tartagal, Salta province, by an observational, correlational, and cross-sectional study in children and adolescents aged 1 to 15 years from native communities. One fecal sample per individual was collected to detect IPs using various diagnostic techniques: Telemann sedimentation, Baermann culture, and Kato-Katz. Moran’s global and local indices were applied together with SaTScan to assess the spatial distribution, with a focus on cluster detection. The extreme gradient boosting (XGBoost) machine-learning model was used to predict the presence of IPs and their transmission pathways. Based on the analysis of 572 fecal samples, a prevalence of 78.3% was found. The most frequent parasite was Giardia lamblia (30.9%). High-and low-risk clusters were observed for most species, distributed in an east-west direction and polarized in two large foci, one near the city of Tartagal and the other in the km 6 community. Spatial XGBoost models were obtained based on distances with a minimum median accuracy of 0.69. Different spatial patterns reflecting the mechanisms of transmission were noted. The distribution of the majority of the parasites studied was aligned in a westerly direction close to the city, but the STH presence was higher in the km 6 community, toward the east. The purely spatial analysis provides a different and complementary overview for the detection of vulnerable hotspots and strategic intervention. Machine-learning models based on spatial variables explain a large percentage of the variability of the IPs. r. © the Author(s), 2024 Licensee PAGEPress, Italy.",Argentina; intestinal parasites; machine learning; spatial analysis,Spatial patterns of intestinal parasite infections among children and adolescents in some indigenous communities in Argentina,Soil-transmitted helminthiases,Supervised learning,Extreme Gradient Boosting (XGBoost),,,Argentina,"Tartagal, Salta province, Argentina",Soil-transmitted helminthiases,Soil-transmitted helminthiases,Soil-transmitted helminthiases,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,surveillance,"Emmett Interdisciplinary Program in Environment and Resources, Stanford University, Stanford, CA, United States; Department of Biology, Stanford University, Stanford, CA, United States; Institute for Human-centered Artificial Intelligence, Stanford University, Stanford, CA, United States; Department of Oceans, Hopkins Marine Station, Stanford University, Pacific Grove, CA, United States; Pasteur Institute, São Paulo, Brazil; Fiocruz Minas/Belo Horizonte-Minas Gerais, Belo Horizonte, Brazil; Geoinformation & Earth Observation Division, National Institute for Space Research (INPE), São Paulo, Brazil; Harvard Medical School, Boston, MA, United States; Marine Science Institute, University of California Santa Barbara, Santa Barbara, CA, United States; Woods Institute for the Environment, Stanford University, Stanford, CA, United States","Species distribution models (SDMs) are increasingly popular tools for profiling disease risk in ecology, particularly for infectious diseases of public health importance that include an obligate non-human host in their transmission cycle. SDMs can create high-resolution maps of host distribution across geographical scales, reflecting baseline risk of disease. However, as SDM computational methods have rapidly expanded, there are many outstanding methodological questions. Here we address key questions about SDM application, using schistosomiasis risk in Brazil as a case study. Schistosomiasis is transmitted to humans through contact with the free-living infectious stage of Schistosoma spp. parasites released from freshwater snails, the parasite’s obligate intermediate hosts. In this study, we compared snail SDM performance across machine learning (ML) approaches (MaxEnt, Random Forest, and Boosted Regression Trees), geographic extents (national, regional, and state), types of presence data (expert-collected and publicly-available), and snail species (Biomphalaria glabrata, B. straminea, and B. tenagophila). We used high-resolution (1km) climate, hydrology, land-use/land-cover (LULC), and soil property data to describe the snails’ ecological niche and evaluated models on multiple criteria. Although all ML approaches produced comparable spatially cross-validated performance metrics, their suitability maps showed major qualitative differences that required validation based on local expert knowledge. Additionally, our findings revealed varying importance of LULC and bioclimatic variables for different snail species at different spatial scales. Finally, we found that models using publicly-available data predicted snail distribution with comparable AUC values to models using expert-collected data. This work serves as an instructional guide to SDM methods that can be applied to a range of vector-borne and zoonotic diseases. In addition, it advances our understanding of the relevant environment and bioclimatic determinants of schistosomiasis risk in Brazil. © 2024 Singleton et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,Species distribution modeling for disease ecology: A multi-scale case study for schistosomiasis host snails in Brazil,Schistosomiasis,Supervised learning," Maximum Entropy (MaxEnt), Random Forest (RF), and Boosted Regression Trees (BRT).","Woods Institute for the Environment; Fogarty International Center, FIC; Stanford Center for Innovation; National Institutes of Health, NIH, (R01AI102918, R01AI168097, R35GM133439); National Institutes of Health, NIH; NSF-ICER, (2024385, 2024383); National Science Foundation, NSF, (DEB-2011147); National Science Foundation, NSF; National Institute of General Medical Sciences, NIGMS, (2021/10212-1, T32GM144273); National Institute of General Medical Sciences, NIGMS; NSF-DEB, (DEB-2011179); Fundação de Amparo à Pesquisa do Estado de São Paulo, FAPESP, (2019/23593-3); Fundação de Amparo à Pesquisa do Estado de São Paulo, FAPESP","Funding: This work was supported by the Belmont collaborative Forum on Climate, Environment, and Health (NSF-ICER 2024383 and NSF-ICER 2024385) and by FAPESP (2019/23593-3) in a collaborative research action with Belmont Forum. GDL and EM are also supported by the Stanford Center for Innovation in Global Health. GDL is also partially supported by NSF-DEB DEB-2011179 (EEID). EM is also supported by grants from the National Science Foundation (DEB-2011147, with Fogarty International Center), the National Institutes of Health (R35GM133439, R01AI168097, R01AI102918), and the Woods Institute for the Environment. TA is supported by the National Institute of General Medical Sciences (T32GM144273). RP is supported by FAPESP (2021/10212-1). The authors received no specific funding for this work. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","United States of America, Brazil",Brazil,Schistosomiasis,Schistosomiasis,Schistosomiasis,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,"diagnostics, treatment monitoring","Department of Social Medicine, Health Sciences Center, Federal University of Espirito Santo, Vitoria, Brazil; Department of Radiology, Hospital Israelita Albert Einstein, São Paulo, Brazil; Department of Tropical Medicine, Tulane University School of Public Health and Tropical Medicine, New Orleans, LA, United States","Missed and delayed diagnoses of Hansen’s disease (HD) are making the battle against it even more complex, increasing its transmission and significantly impacting those affected and their families. This strains public health systems and raises the risk of lifelong impairments and disabilities. Worryingly, the three countries most affected by HD witnessed a growth in new cases in 2022, jeopardizing the World Health Organization’s targets to interrupt transmission. Artificial intelligence (AI) can help address these challenges by offering the potential for rapid case detection, customized treatment, and solutions for accessibility challenges—especially in regions with a shortage of trained healthcare professionals. This perspective article explores how AI can significantly impact the clinical management of HD, focusing on therapeutic strategies. AI can help classify cases, ensure multidrug therapy compliance, monitor geographical treatment coverage, and detect adverse drug reactions and antimicrobial resistance. In addition, AI can assist in the early detection of nerve damage, which aids in disability prevention and planning rehabilitation. Incorporating AI into mental health counseling is also a promising contribution to combating the stigma associated with HD. By revolutionizing therapeutic approaches, AI offers a holistic solution to reduce the burden of HD and improve patient outcomes. Copyright © 2024 Deps, Yotsu, Furriel, de Oliveira, de Lima and Loureiro.",artificial intelligence; digital health; Hansen’s disease; leprosy; skin neglected tropical diseases,The potential role of artificial intelligence in the clinical management of Hansen’s disease (leprosy),leprosy,nan,,"Unified Health System, (01/2020, 25000.161106/2020-61)","The author(s) declare financial support was received for the research, authorship, and/or publication of this article. This project was supported by the Program of Support for the Institutional Development of the Unified Health System (PROADI-SUS, 01/2020; NUP: 25000.161106/2020-61) and Hospital Israelita Albert Einstein.","Brazil, USA","Rio de Janeiro, Brazil",leprosy,leprosy,Leprosy,,{'ml_category': 'None/Other'},None/Other
2024,diagnostics,"Alborzi Clinical Microbiology Research Center, Shiraz University of Medical Sciences, Shiraz, Iran; Shiraz Institute for Cancer Research, School of Medicine, Shiraz University of Medical Sciences, Shiraz, Iran","Background Leishmaniasis is a parasitic disease caused by the Leishmania protozoan affecting millions of people worldwide, especially in tropical and subtropical regions. The immune response involves the activation of various cells to eliminate the infection. Understanding the complex interplay between Leishmania and the host immune system is crucial for developing effective treatments against this disease. Methods This study collected extensive transcriptomic data from macrophages, dendritic, and NK cells exposed to Leishmania spp. Our objective was to determine the Leishmania-responsive genes in immune system cells by applying meta-analysis and feature selection algorithms, followed by co-expression analysis. Results As a result of meta-analysis, we discovered 703 differentially expressed genes (DEGs), primarily associated with the immune system and cellular metabolic processes. In addition, we have substantiated the significance of transcription factor families, such as bZIP and C2H2 ZF, in response to Leishmania infection. Furthermore, the feature selection techniques revealed the potential of two genes, namely G0S2 and CXCL8, as biomarkers and therapeutic targets for Leishmania infection. Lastly, our co-expression analysis has unveiled seven hub genes, including PFKFB3, DIAPH1, BSG, BIRC3, GOT2, EIF3H, and ATF3, chiefly related to signaling pathways. Conclusions These findings provide valuable insights into the molecular mechanisms underlying the response of immune system cells to Leishmania infection and offer novel potential targets for the therapeutic goals. © 2024 Rezaei et al.",,Using meta-analysis and machine learning to investigate the transcriptional response of immune cells to Leishmania infection,Leishmaniasis,Supervised,"Random Forest, SVM, Logistic Regression",,,Iran,nan,Leishmaniasis,Leishmaniasis,Leishmaniasis,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,"diagnosis, surveillance","JAIN (Deemed-to-be University), Department of Genetics, School of Sciences, Karnataka, India; Sanskriti University, Department of Ayurveda, Uttar Pradesh, Mathura, India; Parul University, Department of Community Medicine, PO Limda, Tal. Waghodia, District Vadodara, Gujarat, India; Teerthanker Mahaveer University, Department of General Medicine, Uttar Pradesh, Moradabad, India","Dengue fever is a significant global health concern, with millions of cases reported each year, leading to considerable morbidity and mortality. Early diagnosis, patient monitoring and timely intervention are crucial for managing dengue patients. This study proposed a hybrid machine learning-powered intelligent system designed to enhance dengue patients safety and care. Utilizing data provided at enrollment, including platelet, age, white cell, genders, hematocrit and lymphocyte counts, a Weighted K Nearest Neighbor fused Gradient Boosting Decision Tree (WKNN-GBDT) was utilized to forecast the ultimate diagnosis. The study included 50 patients recruited between July to October 2019 and diagnosed with dengue infection. The collected data was preprocessed and features extracted using min max normalization and independent component analysis (ICA). The WKNN-GBDT model had an overallprecision of 0.96%, f1-score of 0.90% accuracy of 0.98%, andrecall of 0.99% in predicting the final diagnosis. As a consequence of seasonality and other variables, model results changed over time. These models might enhance medical decision-making in the field of medical care and offer passive surveillance in dengue affected areas. Considering the unexpected consequences of human-induced climate change and its impact on health, as well as the implications of seasonality and shifting disease prevalence, is crucial. © 2024 Malque Publishing. All rights reserved.",dengue infection; gradient boosting decision tree (GBDT); morbidity; weighted K-Nearest neighbor (WKNN),A hybrid machine learning-powered intelligent system for enhancing dengue patient safety and care,Dengue,Supervised learning., A hybrid model called Weighted K-Nearest Neighbor fused Gradient Boosting Decision Tree (WKNN-GBDT).,,,India,The data was collected from a teaching hospital in North India.,Dengue,Dengue,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,diagnosis,"Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Dept. of Electronics and Communication Engineering, Chennai, India; Amrita School of Computing, Amrita Vishwa Vidyapeetham, Department of Computer Science and Engineering, Chennai, India; National Defence University Malaysia, Faculty of Defense Science and Technology, Kuala Lumpur, Malaysia; National Defence University Malaysia, Cyber Security and Digital Industrial Revolution Centre, Kuala Lumpur, Malaysia","The identification and classification of different kinds of parasite eggs in microscopic samples represent a critical challenge in the field of Soil-transmitted helminth infection diagnosis. Traditional methods are often labor-intensive and time-consuming. The emergence of deep learning models has shown promising results in automating this process by extracting intricate features from complex images. This study aims to develop an automated system for accurately classifying parasite egg types in microscopic images by leveraging the ability of squeeze excitation layers to learn the global information from the input. The proposed system employs features extracted by ResNet50 and ResNet101 with Squeeze Excitation (SE) layers for analysis. The extracted features are then input into a Support Vector Classifier. The study systematically evaluates the features extracted from ResNet50+SE and ResNet101+SE. Results from the evaluation demonstrate the efficacy of the ResNet50+SE in accurately classifying parasite egg types in microscopic images with an accuracy of 0.94. The study provides valuable insights into the choice of squeeze-excitation block added Resnet in the context of parasitology, contributing to the advancement of automated medical image analysis. The findings hold great potential for improving diagnostic processes and supporting epidemiological studies through efficient and accurate parasite detection. © 2024 IEEE.",machine learning; Microscopic images; Parasite egg classification; Squeeze-Excitation Resenet101 features; Squeeze-Excitation Resenet50 features,A Squeeze-Excitation ResNet Approach for Effective Classification of Parasitic Eggs,Soil-transmitted helminthiases,Supervised learning (Deep Learning),"A hybrid model that uses a Squeeze-Excitation ResNet (specifically comparing ResNet50+SE and ResNet101+SE) to extract features, which are then fed into a Support Vector Classifier for the final classification.",,,"Malaysia, India",India,Soil-transmitted helminthiases,Soil-transmitted helminthiases,Soil-transmitted helminthiases,Supervised Learning,{'ml_category': 'Supervised'},Supervised
