Year,Title,DOI,DOI_Link,Authors
2022,Reimagining leprosy elimination with AI analysis of a combination of skin lesion images with demographic and clinical data,10.1016/j.lana.2022.100192,http://dx.doi.org/10.1016/j.lana.2022.100192,"Barbieri, Raquel R.; Xu, Yixi; Setian, Lucy; Souza-Santos, Paulo Thiago; Trivedi, Anusua; Cristofono, Jim; Bhering, Ricardo; White, Kevin; Sales, Anna M.; Miller, Geralyn; Nery, Jose Augusto C.; Sharman, Michael; Bumann, Richard; Zhang, Shun; Goldust, Mohamad; Sarno, Euzenir N.; Mirza, Fareed; Cavaliero, Arielle; Timmer, Sander; Bonfiglioli, Elena; Smith, Cairns; Scollard, David; Navarini, Alexander A.; Aerts, Ann; Ferres, Juan Lavista; Moraes, Milton O."
2022,Spatial modeling of zoonotic cutaneous leishmaniasis with regard to potential environmental factors using ANFIS and PCA-ANFIS methods,10.1016/j.actatropica.2021.106296,http://dx.doi.org/10.1016/j.actatropica.2021.106296,"Babaie, Elnaz; Alesheikh, Ali Asghar; Tabasi, Mohammad"
2021,"A dynamic, ensemble learning approach to forecast dengue fever epidemic years in Brazil using weather and population susceptibility cycles",10.1098/rsif.2020.1006,http://dx.doi.org/10.1098/rsif.2020.1006,"McGough, Sarah F.; Clemente, Leonardo; Kutz, J. Nathan; Santillana, Mauricio"
2021,A Machine Learning Strategy for Drug Discovery Identifies Anti-Schistosomal Small Molecules,10.1021/acsinfecdis.0c00754,http://dx.doi.org/10.1021/acsinfecdis.0c00754,"Zorn, Kimberley M.; Sun, Shengxi; McConnon, Cecelia L.; Ma, Kelley; Chen, Eric K.; Foil, Daniel H.; Lane, Thomas R.; Liu, Lawrence J.; El-Sakkary, Nelly; Skinner, Danielle E.; Ekins, Sean; Caffrey, Conor R."
2021,A novel diagnostic and prognostic approach for unresponsive patients with anthroponotic cutaneous leishmaniasis using artificial neural networks,10.1371/journal.pone.0250904,http://dx.doi.org/10.1371/journal.pone.0250904,"Bamorovat, Mehdi; Sharifi, Iraj; Rashedi, Esmat; Shafiian, Alireza; Sharifi, Fatemeh; Khosravi, Ahmad; Tahmouresi, Amirhossein"
2021,Blood RNA signature RISK4LEP predicts leprosy years before clinical onset,10.1016/j.ebiom.2021.103379,http://dx.doi.org/10.1016/j.ebiom.2021.103379,"Tio-Coma, Maria; Kielbasa, Szymon M.; van den Eeden, Susan J. F.; Mei, Hailiang; Roy, Johan Chandra; Wallinga, Jacco; Khatun, Marufa; Soren, Sontosh; Chowdhury, Abu Sufian; Alam, Khorshed; van Hooij, Anouk; Richardus, Jan Hendrik; Geluk, Annemieke"
2021,Control and Elimination of Schistosomiasis as a Public Health Problem: Thresholds Fail to Differentiate Schistosomiasis Morbidity Prevalence in Children,10.1093/ofid/ofab179,http://dx.doi.org/10.1093/ofid/ofab179,"Wiegand, Ryan E.; Secor, W. Evan; Fleming, Fiona M.; French, Michael D.; King, Charles H.; Montgomery, Susan P.; Evans, Darin; Utzinger, Jurg; Vounatsou, Penelope; de Vlas, Sake J."
2021,Identification of significant climatic risk factors and machine learning models in dengue outbreak prediction,10.1186/s12911-021-01493-y,http://dx.doi.org/10.1186/s12911-021-01493-y,"Yavari Nejad, Felestin; Varathan, Kasturi Dewi"
2021,Identification of Snails and Schistosoma of Medical Importance via Convolutional Neural Networks: A Proof-of-Concept Application for Human Schistosomiasis,10.3389/fpubh.2021.642895,http://dx.doi.org/10.3389/fpubh.2021.642895,"Tallam, Krti; Liu, Zac Yung-Chun; Chamberlin, Andrew J.; Jones, Isabel J.; Shome, Pretom; Riveau, Gilles; Ndione, Raphael A.; Bandagny, Lydie; Jouanard, Nicolas; Van Eck, Paul; Ngo, Ton; Sokolow, Susanne H.; De Leo, Giulio A."
2021,Leprosy Screening Based on Artificial Intelligence: Development of a Cross-Platform App,10.2196/23718,http://dx.doi.org/10.2196/23718,"Moreira De Souza, Marcio Luis; Lopes, Gabriel Ayres; Branco, Alexandre Castelo; Fairley, Jessica K.; De Oliveira Fraga, Lucia Alves"
2021,Machine learning algorithms to predict the 1 year unfavourable prognosis for advanced schistosomiasis,10.1016/j.ijpara.2021.03.004,http://dx.doi.org/10.1016/j.ijpara.2021.03.004,"Jiang, Honglin; Deng, Weicheng; Zhou, Jie; Ren, Guanghui; Cai, Xinting; Li, Shengming; Hu, Benjiao; Li, Chunlin; Shi, Ying; Zhang, Na; Zheng, Yingyan; Chen, Yue; Jiang, Qingwu; Zhou, Yibiao"
2021,Modeling dengue vector population with earth observation data and a generalized linear model,10.1016/j.actatropica.2020.105809,http://dx.doi.org/10.1016/j.actatropica.2020.105809,"Mudele, Oladimeji; Frery, Alejandro C.; Zanandrez, Lucas F. R.; Eiras, Alvaro E.; Gamba, Paolo"
2021,"Palladium-mediated synthesis and biological evaluation of C-10b substituted Dihydropyrrolo[1,2-b]isoquinolines as antileishmanial agents",10.1016/j.ejmech.2021.113458,http://dx.doi.org/10.1016/j.ejmech.2021.113458,"Barbolla, Iratxe; Hernandez-Suarez, Leidi; Quevedo-Tumailli, Viviana; Nocedo-Mena, Deyani; Arrasate, Sonia; Dea-Ayuela, Maria Auxiliadora; Gonzalez-Diaz, Humberto; Sotomayor, Nuria; Lete, Esther"
2021,"Seroepidemiological survey on chikungunya in endemic zones for arboviruses in Brazil, 2019",10.1111/zph.12888,http://dx.doi.org/10.1111/zph.12888,"de Oliveira Braga, Dayse Aparecida; de Almeida Barreto, Francisca Kalline; Paiva, Clemilson Nogueira; Cavalcante Ramalho, Izabel Leticia; de Goes Cavalcanti, Luciano Pamplona; Alencar, Carlos Henrique"
2021,SmartSPR sensor: Machine learning approaches to create intelligent surface plasmon based sensors,10.1016/j.bios.2020.112760,http://dx.doi.org/10.1016/j.bios.2020.112760,"Gomes, Julio Cartier M.; Souza, Leandro Carlos; Oliveira, Leiva Casemiro"
2021,The economic impact of schistosomiasis,10.1186/s40249-021-00919-z,http://dx.doi.org/10.1186/s40249-021-00919-z,"Rinaldo, Daniele; Perez-Saez, Javier; Vounatsou, Penelope; Utzinger, Jurg; Arcand, Jean-Louis"
2021,Unusual Localization of Blood-Borne Loa loa Microfilariae in the Skin Depends on Microfilarial Density in the Blood: Implications for Onchocerciasis Diagnosis in Coendemic Areas,10.1093/cid/ciab255,http://dx.doi.org/10.1093/cid/ciab255,"Niamsi-Emalio, Yannick; Nana-Djeunga, Hugues C.; Chesnais, Cedric B.; Pion, Sebastien D. S.; Tchatchueng-Mbougua, Jules B.; Boussinesq, Michel; Basanez, Maria-Gloria; Kamgno, Joseph"
2021,Vitamin D Deficiency in Dengue Hemorrhagic Fever and Dengue Shock Syndrome among Sri Lankan Children: A Case-Control Study,10.1155/2021/4173303,http://dx.doi.org/10.1155/2021/4173303,"Dissanayake, Sharmila; Tennekoon, Sureshi; Gaffoor, Sharmila; Liyanage, Guwani"
2020,A Multi-Stage Machine Learning Approach to Predict Dengue Incidence: A Case Study in Mexico,10.1109/ACCESS.2020.2980634,http://dx.doi.org/10.1109/ACCESS.2020.2980634,"Appice, Annalisa; Gel, Yulia R.; Iliev, Iliyan; Lyubchich, Vyacheslav; Malerba, Donato"
2020,Chikungunya outbreak (2015) in the Colombian Caribbean: Latent classes and gender differences in virus infection,10.1371/journal.pntd.0008281,http://dx.doi.org/10.1371/journal.pntd.0008281,"Vidal, Oscar M.; Acosta-Reyes, Jorge; Padilla, Jesus; Navarro-Lechuga, Edgar; Bravo, Elsa; Viasus, Diego; Arcos-Burgos, Mauricio; Velez, Jorge I."
2020,Enhancing fine-grained intra-urban dengue forecasting by integrating spatial interactions of human movements between urban regions,10.1371/journal.pntd.0008924,http://dx.doi.org/10.1371/journal.pntd.0008924,"Liu, Kang; Zhang, Meng; Xi, Guikai; Deng, Aiping; Song, Tie; Li, Qinglan; Kang, Min; Yin, Ling"
2020,X-ray absorption spectroscopy combined with machine learning for diagnosis of schistosomiasis cirrhosis,10.1016/j.bspc.2020.101944,http://dx.doi.org/10.1016/j.bspc.2020.101944,"Fang, Zheng; Hu, Weifeng; Wang, Mengyi; Wang, Renbin; Zhong, Shuo; Chen, Siyuan"
2019,A novel integrated molecular and serological analysis method to predict new cases of leprosy amongst household contacts,10.1371/journal.pntd.0007400,http://dx.doi.org/10.1371/journal.pntd.0007400,"Gama, Rafael Silva; Moreira de Souza, Marcio Luis; Sarno, Euzenir Nunes; de Moraes, Milton Ozorio; Goncalves, Aline; Stefani, Mariane M. A.; Gonzalez Garcia, Raul Marcel; de Oliveira Fraga, Lucia Alves"
2019,Correlation between Google Trends on dengue fever and national surveillance report in Indonesia,10.1080/16549716.2018.1552652,http://dx.doi.org/10.1080/16549716.2018.1552652,"Husnayain, Atina; Fuad, Anis; Lazuardi, Lutfan"
2019,Development and Clinical Evaluation of Loop-Mediated Isothermal Amplification (LAMP) Assay for the Diagnosis of Human Visceral Leishmaniasis in Brazil,10.1155/2019/8240784,http://dx.doi.org/10.1155/2019/8240784,"de Avelar, Daniel Moreira; Carvalho, Debora Moreira; Rabello, Ana"
2019,Forecasting dengue epidemics using a hybrid methodology,10.1016/j.physa.2019.121266,http://dx.doi.org/10.1016/j.physa.2019.121266,"Chakraborty, Tanujit; Chattopadhyay, Swarup; Ghosh, Indrajit"
2019,Severe Dengue Prognosis Using Human Genome Data and Machine Learning,10.1109/TBME.2019.2897285,http://dx.doi.org/10.1109/TBME.2019.2897285,"Davi, Caio; Pastor, Andre; Oliveira, Thiego; de Lima Neto, Fernando B.; Braga-Neto, Ulisses; Bigham, Abigail W.; Bamshad, Michael; Marques, Ernesto T. A.; Acioli-Santos, Bartolomeu"
2018,"Cutaneous Leishmaniasis in the Metropolitan City of Multan, Pakistan, a Neglected Tropical Disease",10.1093/jme/tjy003,http://dx.doi.org/10.1093/jme/tjy003,"Ayaz, Muhammad Mazhar; Nazir, Muhammad Mudasser; Ullah, Najeeb; Zaman, Aqil; Akbar, Atif; Zeeshan, Muhammad; Hussain, Zahid; Naz, Saima; Zheng, Yadong; Javed, Asghar; Lindsay, David S."
2018,Genomic Analysis of Colombian Leishmania panamensis strains with different level of virulence,10.1038/s41598-018-35778-6,http://dx.doi.org/10.1038/s41598-018-35778-6,"Urrea, Daniel Alfonso; Duitama, Jorge; Imamura, Hideo; Aprimelzate, Juan F.; Gil, Juanita; Munoz, Natalia; Villa, Janny Alexander; Dujardin, Jean-Claude; Ramirez-Pineda, Jose R.; Triana-Chavez, Omar"
2018,"Machine learning approaches in GIS-based ecological modeling of the sand fly Phlebotomus papatasi, a vector of zoonotic cutaneous leishmaniasis in Golestan province, Iran",10.1016/j.actatropica.2018.09.004,http://dx.doi.org/10.1016/j.actatropica.2018.09.004,"Mollalo, Abolfazl; Sadeghian, Ali; Israel, Glenn D.; Rashidi, Parisa; Sofizadeh, Aioub; Glass, Gregory E."
2018,Modeling Dengue vector population using remotely sensed data and machine learning,10.1016/j.actatropica.2018.05.003,http://dx.doi.org/10.1016/j.actatropica.2018.05.003,"Scavuzzo, Juan M.; Trucco, Francisco; Espinosa, Manuel; Tauro, Carolina B.; Abril, Marcelo; Scavuzzo, Carlos M.; Frery, Alejandro C."
2018,"Urogenital schistosomiasis in Cabo Delgado, northern Mozambique: baseline findings from the SCORE study",10.1186/s13071-017-2592-8,http://dx.doi.org/10.1186/s13071-017-2592-8,"Phillips, Anna E.; Gazzinelli-Guimaraes, Pedro H.; Aurelio, Herminio O.; Dhanani, Neerav; Ferro, Josefo; Nala, Rassul; Deol, Arminder; Fenwick, Alan"
2016,Analysis of significant factors for dengue fever incidence prediction,10.1186/s12859-016-1034-5,http://dx.doi.org/10.1186/s12859-016-1034-5,"Siriyasatien, Padet; Phumee, Atchara; Ongruk, Phatsavee; Jampachaisri, Katechan; Kesorn, Kraisak"
2015,Host biomarkers are associated with progression to dengue haemorrhagic fever: a nested case-control study,10.1016/j.ijid.2015.07.027,http://dx.doi.org/10.1016/j.ijid.2015.07.027,"Conroy, Andrea L.; Gelvez, Margarita; Hawkes, Michael; Rajwans, Nimerta; Tran, Vanessa; Liles, W. Conrad; Angel Villar-Centeno, Luis; Kain, Kevin C."
2025,Determining Important Features for Dengue Diagnosis using Feature Selection Methods,10.47738/jads.v6i1.445,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216740526&doi=10.47738%2fjads.v6i1.445&partnerID=40&md5=64e5b60a12da29c312c22a1801c4972e,"Bria, Yulianti Paula (57221096497); Nani, Paskalis Andrianus (57209097730); Siki, Yovinia Carmeneja Hoar (57205018981); Mamulak, Natalia Magdalena Rafu (57205020532); Meolbatak, Emiliana Metan (57354489600); Guntur, Robertus Dole (57193865076)"
2025,Synergistic modeling of hemorrhagic dengue fever: Passive immunity dynamics and time-delay neural network analysis,10.1016/j.compbiolchem.2025.108365,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216609892&doi=10.1016%2fj.compbiolchem.2025.108365&partnerID=40&md5=313236a923d8db621582b1a7e82a0254,"Raza, Hassan (59418013500); Raja, Muhammad Junaid Ali Asif (59364016000); Mubeen, Rikza (59418658900); Masood, Zaheer (57192106194); Raja, Muhammad Asif Zahoor (36739939800)"
2025,Dengue Dynamics in Bangladesh: Unveiling Insights Through Statistical and Machine Learning Analysis,10.1007/978-981-97-3937-0_41,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207851845&doi=10.1007%2f978-981-97-3937-0_41&partnerID=40&md5=9cdd3a752b25032dab90ac295768f316,"Mortuza Ahmmed, Md. (57222043605); Ashraful Babu, Md. (57212215763); Rahman, M. Mostafizur (58807080200); Noor, Mst. Nadiya (59390479000); Kabir, K. M. Tahsin (59390881900); Islam, Md. Moynul (57263730600); Rafith, Sadman Samir (59173633600)"
2024,Andrographolide: A Diterpenoid from Cymbopogon schoenanthus Identified as a New Hit Compound against Trypanosoma cruzi Using Machine Learning and Experimental Approaches,10.1021/acs.jcim.3c01410,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181836810&doi=10.1021%2facs.jcim.3c01410&partnerID=40&md5=fb2a46fc0d6bed85672170c71c75ebd7,"Barbosa, Henrique (57211441502); Espinoza, Gabriel Zarzana (57205133565); Amaral, Maiara (57204564727); de Castro Levatti, Erica Valadares (57193852472); Abiuzi, Mariana Babberg (58205763300); Veríssimo, Gabriel Correa (57208703380); Fernandes, Philipe de Oliveira (57194763990); Maltarollo, Vinícius Gonçalves (35203871500); Tempone, Andre Gustavo (8233794800); Honorio, Kathia Maria (6602497820); Lago, João Henrique Ghilardi (7003802703)"
2024,Artificial neural networks for stability analysis and simulation of delayerabies spread models,10.3934/math.20241599,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211123747&doi=10.3934%2fmath.20241599&partnerID=40&md5=f4a6c4d9868f3ffd02b8c13c47a0bf69,"Shafqat, Ramsha (57226503533); Alsaadi, Ateq (57433179100)"
2024,Bayesian modeling of post-vaccination serological data suggests that yearly vaccination of dog aged <2 years old is efficient to stop rabies circulation in Cambodia,10.1371/journal.pntd.0012089,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191899804&doi=10.1371%2fjournal.pntd.0012089&partnerID=40&md5=d2736ee45655602ec6683d742d2da2e0,"Auerswald, Heidi (57200562754); Guillebaud, Julia (55362245200); Durand, Benoit (7102555214); Le Vu, Mathilde (58243943100); Sorn, Sopheak (57225287561); In, Saraden (57193007527); Pov, Vutha (57225188196); Davun, Holl (13408561200); Duong, Veasna (34881555300); Ly, Sowath (24491869200); Dussart, Philippe (6506096992); Chevalier, Véronique (55884078800)"
2024,Climate and urbanization drive changes in the habitat suitability of Schistosoma mansoni competent snails in Brazil,10.1038/s41467-024-48335-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196370559&doi=10.1038%2fs41467-024-48335-9&partnerID=40&md5=45815f23a2a58e55a6f64716c6498c4d,"Glidden, Caroline K. (57200256506); Singleton, Alyson L. (57202432112); Chamberlin, Andrew (57205371637); Tuan, Roseli (7102072676); Palasio, Raquel G. S. (56755348300); Caldeira, Roberta Lima (7003731167); Monteiro, Antônio Miguel V. (7102146079); Lwiza, Kamazima M. M. (6602899249); Liu, Ping (58893834200); Silva, Vivian (59077822400); Athni, Tejas S. (57216940413); Sokolow, Susanne H. (8725138200); Mordecai, Erin A. (24174955700); De Leo, Giulio A. (7006105591)"
2024,Development of an ELISA for an effective potency determination of recombinant rabies human monoclonal antibody,10.1016/j.jim.2024.113769,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208112711&doi=10.1016%2fj.jim.2024.113769&partnerID=40&md5=00d4908a0656e41d4190a88f4e5c5f76,"Divase, Ambika (59280878300); Pisal, Sambhaji (6507671377); Dake, Manjusha (7006774029); Dhere, Rajeev (15847859300); Dakshinamurthy, Pravin Kumar (57192943320); Reddy, Peddireddy Srinivas (59394880800); Kamat, Chandrashekhar (59297524200); Chahar, Digamber Singh (57210637830); Pal, Jayanta (7004533235); Nawani, Neelu (6507993984)"
2024,Enhancing vector control: AI-based identification and counting of Aedes albopictus (Diptera: Culicidae) mosquito eggs,10.1186/s13071-024-06587-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212515275&doi=10.1186%2fs13071-024-06587-w&partnerID=40&md5=4fc5c502b29a53725cb00c8964cfbd48,"Wang, Minghao (57230737800); Zhou, Yibin (57194730037); Yao, Shenjun (37040114700); Wu, Jianping (56145346300); Zhu, Minhui (57198426863); Dong, Linjuan (57223279398); Wang, Dunjia (59350390400)"
2024,Evaluating Advanced Machine Learning Models for Histopathological Diagnosis of Hansen Disease,10.1097/DAD.0000000000002875,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209150673&doi=10.1097%2fDAD.0000000000002875&partnerID=40&md5=d816a1d140203dadcd0e144c53b8aec5,"Vargas-Clavijo, Mariana (59411391500); Cardona-Castro, Nora (56041826500); Ospina-Gómez, Juan Pablo (57220022436); Serrano-Coll, Héctor (57192402543)"
2024,Fuzzy hybrid approach for advanced teaching learning technique with particle swarm optimization in the diagnostic of dengue disease,10.1016/j.sasc.2024.200160,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208182819&doi=10.1016%2fj.sasc.2024.200160&partnerID=40&md5=605e80ce7978009dd8d76dfcd2390299,"Nivedita (57470745700); Garg, Riddhi (59395754800); Agrawal, Seema (57210538099); Sharma, Ajendra (58931489500); Sharma, M.K. (35472644600)"
2024,Heuristic Segmentation Assisted Deep-Spatial Feature Learning Model for Leprosy Detection,10.1007/s42979-024-03053-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200024676&doi=10.1007%2fs42979-024-03053-3&partnerID=40&md5=decc6273c2294a8ea23afc4fcb3899c3,"Jitendra, R. (23973148600); Simha, Jay B (22981615100); Abhi, Shinu (56891784400); Chadha, Vineet K (57208775362)"
2024,Mathematical analysis and prediction of future outbreak of dengue on time-varying contact rate using machine learning approach,10.1016/j.compbiomed.2024.108707,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195695760&doi=10.1016%2fj.compbiomed.2024.108707&partnerID=40&md5=71f3af58390062bd8d24444ee1c98874,"Islam, Md Shahidul (58617314900); Shahrear, Pabel (23036715300); Saha, Goutam (25636318600); Ataullha, Md (58612385600); Rahman, M. Shahidur (57212184271)"
2024,Revolutionizing Public Health Surveillance: Computational Solution for Dengue Prediction,10.70135/seejph.vi.944,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205000200&doi=10.70135%2fseejph.vi.944&partnerID=40&md5=148fdba0c5c8d0c2fc46a1153267361c,"Deshmukh, Rajesh Keshavrao (57836183000); Shrivastav, Mohit (59241956300)"
2024,Schistosomiasis transmission: A machine learning analysis reveals the importance of agrochemicals on snail abundance in Rwanda,10.1371/journal.pntd.0012730,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213596325&doi=10.1371%2fjournal.pntd.0012730&partnerID=40&md5=c75e2212b0a3f02bd926b4e87d2b2bdf,"Kagabo, Joseph (57798596600); Tabo, Zadoki (57644871700); Kalinda, Chester (57202296259); Nyandwi, Elias (37089433900); Rujeni, Nadine (37124846400)"
2024,Spatial patterns of intestinal parasite infections among children and adolescents in some indigenous communities in Argentina,10.4081/gh.2024.1279,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194519768&doi=10.4081%2fgh.2024.1279&partnerID=40&md5=954eba005dbab356edf234657594d7b8,"Scavuzzo, Carlos Matías (57225062339); Campero, Micaela Natalia (57241281800); Maidana, Rosana Elizabeth (59149218000); Oberto, María Georgina (57340150600); Periago, María Victoria (7003618326); Porcasi, Ximena (8357105400)"
2024,Species distribution modeling for disease ecology: A multi-scale case study for schistosomiasis host snails in Brazil,10.1371/journal.pgph.0002224,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200438977&doi=10.1371%2fjournal.pgph.0002224&partnerID=40&md5=073cb3f915540fbd20c3b002f37dd171,"Singleton, Alyson L. (57202432112); Glidden, Caroline K. (57200256506); Chamberlin, Andrew J. (57205371637); Tuan, Roseli (7102072676); Palasio, Raquel G.S. (56755348300); Pinter, Adriano (7101797541); Caldeira, Roberta L. (7003731167); Mendonça, Cristiane L.F. (36021426600); Carvalho, Omar S. (35496464400); Monteiro, Miguel V. (58540818900); Athni, Tejas S. (57216940413); Sokolow, Susanne H. (8725138200); Mordecai, Erin A. (24174955700); De Leo, Giulio A. (7006105591)"
2024,The potential role of artificial intelligence in the clinical management of Hansen’s disease (leprosy),10.3389/fmed.2024.1338598,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188453586&doi=10.3389%2ffmed.2024.1338598&partnerID=40&md5=5b3e50813729e4caebaf0c1f34cd95b7,"Deps, Patrícia D. (6603150842); Yotsu, Rie (35099776700); Furriel, Brunna C. R. S. (57677886100); de Oliveira, Bruno D. (58951184700); de Lima, Sergio L. (58952184500); Loureiro, Rafael M. (57207205788)"
2024,Using meta-analysis and machine learning to investigate the transcriptional response of immune cells to Leishmania infection,10.1371/journal.pntd.0011892,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182954087&doi=10.1371%2fjournal.pntd.0011892&partnerID=40&md5=67ea0779c1acef80d7eeeda89a76ea85,"Rezaei, Zahra (57216939704); Tahmasebi, Ahmad (56363874900); Pourabbas, Bahman (10739127500)"
2024,A hybrid machine learning-powered intelligent system for enhancing dengue patient safety and care,10.31893/multiscience.2024ss0602,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203648310&doi=10.31893%2fmultiscience.2024ss0602&partnerID=40&md5=166070a381e4d12dc2abf42ea1e23458,"Kumar, C. Sandeep (59322737200); Gupta, Karan Ram Lal (58726838100); Patel, Geetika M. (57204563484); Haria, J.M. (57211002171)"
2024,A Squeeze-Excitation ResNet Approach for Effective Classification of Parasitic Eggs,10.1109/IVIT62102.2024.10692960,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207062594&doi=10.1109%2fIVIT62102.2024.10692960&partnerID=40&md5=55484430b7e62692b7d2933eca3d2a0f,"Muthulakshm, M. (57201588260); Venkatesan, K. (59313963400); Rahayu, Syarifah Bahiyah (36816483800); Elangovan, Karthickeien (59378521600)"
2024,Artificial Intelligence Approach for Severe Dengue Early Warning System,10.3233/SHTI231091,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183581536&doi=10.3233%2fSHTI231091&partnerID=40&md5=16e1f1c4f0a78fef39871727ec38c0ed,"Anggraini Ningrum, Dina Nur (57195329470); Li, Yu-Chuan Jack (57993881100); Hsu, Chien-Yeh (55752327900); Solihuddin Muhtar, Muhammad (57220596738); Pandu Suhito, Hanif (58852822500)"
2024,Automated Dengue Recognition and Analysis through Image Processing and Machine Learning,10.1109/ICICACS60521.2024.10498794,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191725008&doi=10.1109%2fICICACS60521.2024.10498794&partnerID=40&md5=53446e7ee74cc1e17d6d69df840570f2,"Patil, Preethi N (55813647400); Usha, J. (55941122900); Dharani, Andhe (54383109800)"
2024,"Deep Learning Based Forecasting Models of Dengue Outbreak in Bangladesh: Comparative Analysis of LSTM, RNN, and GRU Models Using Multivariate Variables with a Two-Decade Dataset",10.1109/ICSSES62373.2024.10561382,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197873673&doi=10.1109%2fICSSES62373.2024.10561382&partnerID=40&md5=1eb118a172b4417ada785286b9e97841,"Ullah, Mohammad Arman (57222736974); Mim, Ayesha Siddiqua (59210752900); Hasan, Mohammad Nayeem (57216695961); Sadik, Md Rezwane (58930166900)"
2024,Dengue Cases Prediction and Analysis using LSTM and Region-specific Data,10.1109/OTCON60325.2024.10688374,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206927743&doi=10.1109%2fOTCON60325.2024.10688374&partnerID=40&md5=b4f24a320d855bbd15546bc619c1b1f7,"Ud Deen Shafique, Hafiz Noor (59374824300); Ali, Nauman (59374553900); Hussain, Muhammad Zunnurain (57202836473); Hasan, Muhammad Zulkifl (57208178055); Mustafa, Muzzamil (58137753400); Khalid, Aqsa (58794943100); Awan, Rimsha (59134251600); Ashraf, Farhan (59187968400); Khan, Zohaib Ahmed (59187968500); Javaid, Arslan (59187963600)"
2024,Dengue Fever Outbreak Prediction Using Machine Learning Models: A Comparative Study,10.1007/978-981-99-7820-5_36,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187800701&doi=10.1007%2f978-981-99-7820-5_36&partnerID=40&md5=77c202a3f2cbe7ba5e34695bbb131672,"Singh, Karmveer (58940295500); Kumar, Raj (57366794900); Thakur, Prachi (57219988521); Singh, Harmanpreet (59112884200); Singh, Satya (58940295600)"
2024,Enhancing Dengue Awareness: A Comprehensive System for Filtering Thai Social Media Posts,10.1109/COMPSAC61105.2024.00203,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204072709&doi=10.1109%2fCOMPSAC61105.2024.00203&partnerID=40&md5=5295cca0864cddce88a87be9d4ca8151,"Phengsuwan, Jedsada (24724940900); Aroonrua, Kamron (48160906000); Punpreuk, Krit (59329535900); Sahavechaphan, Naiyana (15047123400)"
2024,Enhancing Diagnosis of Infectious Skin Disease: A Professional Approach using Deep Learning for Leprosy Detection,10.1109/ICCCNT61001.2024.10725616,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213035804&doi=10.1109%2fICCCNT61001.2024.10725616&partnerID=40&md5=8ebc2aa215b9537d564bfafcea215cf2,"Gawali, Chetan Jitendra (59486969300); Subbulakshmi, S. (57191373145)"
2024,Image Processing and Machine Learning Techniques for Chagas Disease Detection and Identification,10.1007/978-3-031-66955-2_14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200653804&doi=10.1007%2f978-3-031-66955-2_14&partnerID=40&md5=b66bcbdae82a2cebd632ee15780ef48a,"Rada, Lavdie (55268679000); Azzawi, Inass (59250923600); Kumar, Preet (58265575300); Brito-Loeza, Carlos Francisco (25724100900); Karabağ, Cefa (57203758303); Reyes-Aldasoro, Constantino C. (55905527000)"
2024,Integrated Machine Learning Paradigms with Simulation based Mathematical Modeling for Dengue Fever,10.1109/SASI-ITE58663.2024.00030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201155935&doi=10.1109%2fSASI-ITE58663.2024.00030&partnerID=40&md5=215c72fb942b4dd251b61b2afcb17ad1,"Dheva Rajan, S. (56048390800)"
2024,Machine Learning Based Prediction of Anti-dengue Drugs Using Structure-activity Relationship Study,10.1109/ICEEICT62016.2024.10534415,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195237543&doi=10.1109%2fICEEICT62016.2024.10534415&partnerID=40&md5=2ede01102a797937404f24771329e445,"Chy, Nishat Soultana (59157539900); Biswas, Sourav (57218225492); Chy, Abu Nowshed (55843821600); Halim, Mohammad A. (57192428978); Seddiqui, Md. Hanif (34972018000)"
