Year,Class,Affiliations,Abstract,Keywords,Title,Tropical_disease_type,Machine_learning_techniques,ml,Model,funding_details,funding_text,Authors_Region,Data_Region,Tropical_disease_type_clean,Tropical_disease_type_list
2021,treatment monitoring,Boston University; Texas A&M University System; Texas A&M University College Station,"Although acute respiratory infections are a leading cause of mortality in sub-Saharan Africa, surveillance of diseases such as influenza is mostly neglected. Evaluating the usefulness of influenza-like illness (ILI) surveillance systems and developing approaches for forecasting future trends is important for pandemic preparedness. We applied and compared a range of robust statistical and machine learning models including random forest (RF) regression, support vector machines (SVM) regression, multivariable linear regression and ARIMA models to forecast 2012 to 2018 trends of reported ILI cases in Cameroon, using Google searches for influenza symptoms, treatments, natural or traditional remedies as well as, infectious diseases with a high burden (i.e., AIDS, malaria, tuberculosis). The R-2 and RMSE (Root Mean Squared Error) were statistically similar across most of the methods, however, RF and SVM had the highest average R-2 (0.78 and 0.88, respectively) for predicting ILI per 100,000 persons at the country level. This study demonstrates the need for developing contextualized approaches when using digital data for disease surveillance and the usefulness of search data for monitoring ILI in sub-Saharan African countries.",SUB-SAHARAN AFRICA; SURVEILLANCE; SEASONALITY; EPIDEMICS,Forecasting influenza-like illness trends in Cameroon using Google Search Data,Influenza,Supervised learning,ml,"- Random forest (RF) regresstion
- Support vector machines (SVM) regression
- Multivariable linear regression
- ARIMA models",National Institutes of Health(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); Texas AM University,Elaine O. Nsoesie is supported by funding from the National Institutes of Health (Award Number K01ES025438). Martial L. Ndeffo-Mbah is supported by a faculty startup funding from Texas A&M University.,"USA, Cameroon",Cameroon,Influenza,['Influenza']
2021,diagnosis,Cornell University; Weill Cornell Medicine; University of Freiburg; University of Freiburg; University of Freiburg,"Malaria is a major international public health problem that affects millions of patients worldwide especially in sub-Saharan Africa. Although many tests have been developed to diagnose malaria infections, we still lack reliable diagnostic biomarkers for the identification of disease severity, especially in endemic areas where the diagnosis of cerebral malaria is very difficult and requires the exclusion of all other possible causes. Previous host and pathogen transcriptomic studies have not yielded homogenous results that can be harnessed into a reliable diagnostic tool. Here we utilized a multi-cohort analysis approach using machine-learning algorithms to identify blood gene signatures that can distinguish severe and cerebral malaria from moderate and non-cerebral cases. Using a Regularized Random Forest model, we identified 28-gene and 32-gene signatures that can reliably distinguish severe and cerebral malaria, respectively. We tested the specificity of both signatures against other common infectious diseases to ensure the signatures reliability and suitability as diagnostic markers. The severe and cerebral malaria gene-signatures were further integrated through k-top scoring pairs classifiers into ten and nine gene pairs that could distinguish severe and cerebral malaria, respectively. These signatures have various implications that can be utilized as blood diagnostic tools for malaria severity in endemic countries.",EXPRESSION; MUTATIONS; RECEPTORS; INFECTION; DIAGNOSIS,Host Blood Gene Signatures Can Detect the Progression to Severe and Cerebral Malaria,Malaria,Supervised learning,ml,"- Regularized Random Forest
","IMM-PACT-Program for Clinician Scientists of the Deutsche Forschungsgemeinschaft (DFG, German Research Foundation)(German Research Foundation (DFG))","MB is supported by the IMM-PACT-Program for Clinician Scientists of the Deutsche Forschungsgemeinschaft (DFG, German Research Foundation) [413517907].","USA, Germany",,Malaria,['Malaria']
2021,treatment monitoring,Universiti Malaya,"Background Dengue fever is a widespread viral disease and one of the world's major pandemic vector-borne infections, causing serious hazard to humanity. The World Health Organisation (WHO) reported that the incidence of dengue fever has increased dramatically across the world in recent decades. WHO currently estimates an annual incidence of 50-100 million dengue infections worldwide. To date, no tested vaccine or treatment is available to stop or prevent dengue fever. Thus, the importance of predicting dengue outbreaks is significant. The current issue that should be addressed in dengue outbreak prediction is accuracy. A limited number of studies have conducted an in-depth analysis of climate factors in dengue outbreak prediction. Methods The most important climatic factors that contribute to dengue outbreaks were identified in the current work. Correlation analyses were performed in order to determine these factors and these factors were used as input parameters for machine learning models. Top five machine learning classification models (Bayes network (BN) models, support vector machine (SVM), RBF tree, decision table and naive Bayes) were chosen based on past research. The models were then tested and evaluated on the basis of 4-year data (January 2010 to December 2013) collected in Malaysia. Results This research has two major contributions. A new risk factor, called the TempeRain factor (TRF), was identified and used as an input parameter for the model of dengue outbreak prediction. Moreover, TRF was applied to demonstrate its strong impact on dengue outbreaks. Experimental results showed that the Bayes Network model with the new meteorological risk factor identified in this study increased accuracy to 92.35% for predicting dengue outbreaks. Conclusions This research explored the factors used in dengue outbreak prediction systems. The major contribution of this study is identifying new significant factors that contribute to dengue outbreak prediction. From the evaluation result, we obtained a significant improvement in the accuracy of a machine learning model for dengue outbreak prediction.",AEDES-AEGYPTI; TEMPERATURE; VARIABLES; FEVER; DISEASE; VECTOR,Identification of significant climatic risk factors and machine learning models in dengue outbreak prediction,Dengue,Supervised learning,ml,"- Bayes network (BN) models
- Support vector machine (SVM)
- RBF tree
- Decision table
- Naive Bayes",Research University Grant-Faculty Program,"Research University Grant-Faculty Program (GPF011D-2019) has funded the writing of this manuscript. The funding body played no role in the design of the study and collection, analysis, and interpretation of data.",Malaysia,Malaysia,Dengue,['Dengue']
2021,diagnosis,Stanford University; Institut National de la Sante et de la Recherche Medicale (Inserm); Universite de Lille; CHU Lille; Universite Gaston Berger; University of California System; University of California Santa Barbara; Stanford University,"In recent decades, computer vision has proven remarkably effective in addressing diverse issues in public health, from determining the diagnosis, prognosis, and treatment of diseases in humans to predicting infectious disease outbreaks. Here, we investigate whether convolutional neural networks (CNNs) can also demonstrate effectiveness in classifying the environmental stages of parasites of public health importance and their invertebrate hosts. We used schistosomiasis as a reference model. Schistosomiasis is a debilitating parasitic disease transmitted to humans via snail intermediate hosts. The parasite affects more than 200 million people in tropical and subtropical regions. We trained our CNN, a feed-forward neural network, on a limited dataset of 5,500 images of snails and 5,100 images of cercariae obtained from schistosomiasis transmission sites in the Senegal River Basin, a region in western Africa that is hyper-endemic for the disease. The image set included both images of two snail genera that are relevant to schistosomiasis transmission - that is, Bulinus spp. and Biomphalaria pfeifferi - as well as snail images that are non-component hosts for human schistosomiasis. Cercariae shed from Bi. pfeifferi and Bulinus spp. snails were classified into 11 categories, of which only two, S. haematobium and S. mansoni, are major etiological agents of human schistosomiasis. The algorithms, trained on 80% of the snail and parasite dataset, achieved 99% and 91% accuracy for snail and parasite classification, respectively, when used on the hold-out validation dataset - a performance comparable to that of experienced parasitologists. The promising results of this proof-of-concept study suggests that this CNN model, and potentially similar replicable models, have the potential to support the classification of snails and parasite of medical importance. In remote field settings where machine learning algorithms can be deployed on cost-effective and widely used mobile devices, such as smartphones, these models can be a valuable complement to laboratory identification by trained technicians. Future efforts must be dedicated to increasing dataset sizes for model training and validation, as well as testing these algorithms in diverse transmission settings and geographies.",,Identification of Snails and Schistosoma of Medical Importance via Convolutional Neural Networks: A Proof-of-Concept Application for Human Schistosomiasis,Schistosomiasis,Supervised learning,ml,- CNN,Bill and Melinda Gates Foundation(Bill & Melinda Gates Foundation); Stanford University Woods Institute for the Environment; Freeman Spogli Institute at Stanford University; Stanford University(Stanford University); National Institutes of Health(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); National Science Foundation (NSF)(National Science Foundation (NSF)); NSF(National Science Foundation (NSF)); Bill and Melinda Gates Foundation(Bill & Melinda Gates Foundation),"This work was supported by a grant from the Bill and Melinda Gates Foundation (OPP1114050), an Environmental Ventures Program grant from the Stanford University Woods Institute for the Environment, a SEED grant from the Freeman Spogli Institute at Stanford University, a Human Centered Artificial Intelligence grant from Stanford University, a grant from the National Institutes of Health (R01TW010286). SS was partially supported also by a grant from the National Science Foundation (NSF) CNH-1414102. KT and GD were partially supported alsoby NSF DEB -2011179 and NSF ICER-2024383.","United States, Senegal, France",Senegal,Schistosomiasis,['Schistosomiasis']
2021,diagnosis,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering &Technology (VNR VJIET); Jawaharlal Nehru Technological University - Hyderabad; SRM University-AP; Taylor's University; Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering &Technology (VNR VJIET),"Malaria is a severe epidemic disease caused by Plasmodium falciparum. The parasite causes critical illness if persisted for longer durations and delay in precise treatment can lead to further complications. The automatic diagnostic model provides aid for medical practitioners to avail a fast and efficient diagnosis. Most of the existing work either utilizes a fully connected convolution neural network with successive pooling layers which causes loss of information in pixels. Further, convolutions can capture spatial invariances but, cannot capture rotational invariances. Hence to overcome these limitations, this research, develops an Imperative Dynamic routing mechanism with fully trained capsule networks for malaria classification. This model identifies the presence of malaria parasites by classifying thin blood smears containing samples of parasitized and healthy erythrocytes. The proposed model is compared and evaluated with novel machine vision models evolved over a decade such as VGG, ResNet, DenseNet, MobileNet. The problems in previous research are cautiously addressed and overhauled using the proposed capsule network by attaining the highest Area under the curve (AUC) and Specificity of 99.03% and 99.43% respectively for 20% test samples. To understand the underlying behavior of the proposed network various tests are conducted for variant shuffle patterns. The model is analyzed and assessed in distinct environments to depict its resilience and versatility. To provide greater generalization, the proposed network has been tested on thick blood smear images which surpassed with greater performance.",MICROSCOPIC IMAGES; QUANTIFICATION; MODEL,Imperative Dynamic Routing Between Capsules Network for Malaria Classification,Malaria,Supervised learning,ml,Capsule Network,"Jawaharlal Nehru Technological University Hyderabad, India; J.N.T. University Hyderabad, India","This research was supported by the Jawaharlal Nehru Technological University Hyderabad, India under Grant Procs No. JNTUH/TEQIP-III/CRS/2019/CSE/13. The authors gratefully acknowledge the financial support provided by the J.N.T. University Hyderabad, India.","India, Malaysia",Bangladesh,Malaria,['Malaria']
2021,diagnosis,Bandirma Onyedi Eylul University; Bandirma Onyedi Eylul University,"The prediction of hospital patients and outpatients with suspected arboviral infection individuals in research-limited settings of the urban areas is defined as a challenging process for clinicians. Dengue, Chikungunya, and Zika arboviruses have gained attention in recent years because of the high prevalence in the society and financial burden of major global health systems. In this study, we proposed a machine learning algorithm based prediction model over retrospective medical records, which are named as SISA (the Severity Index for Suspected Arbovirus) and SISAL (the Severity Index for Suspected Arbovirus with Laboratory) datasets. Therefore, we aim to inform the clinicians about the use of machine learning with transfer learning success for diagnosis and comprehensive comparison of the classification performances over the SISA/SISAL datasets in the resource-limited settings that may cause to the small datasets of arboviral infection. In this study, Convolutional Neural Network and Long Short-Term Memory have achieved 100% accuracy and 1 of area under the curve (AUC) score, Fully Connected Deep Network has provided 92.86% accuracy and 0.969 AUC score in the SISAL dataset with transfer learning. Moreover, 98.73% accuracy and 0.988 AUC score were obtained by Convolutional Neural Network and Long Short-Term Memory for the SISA dataset. Furthermore, Linear Discriminant Analysis (shallow algorithm) has provided reaching up to 96.43% accuracy. Notably, deep learning based models have achieved improved performances compared to the previously reported study.",,Improved machine learning performances with transfer learning to predicting need for hospitalization in arboviral infections against the small dataset,Arboviral infections,Supervised learning,ml,"- CNN and Long Short-Term Memory
- Fully connected deep network
- SVM
- Linear Discriminant Analysis",,,Turkey,Ecuador,Arboviral infections,['Arboviral infections']
2021,diagnosis,Universidade Federal de Juiz de Fora; Universidade Federal de Juiz de Fora; Emory University,"Background: According to the World Health Organization, achieving targets for control of leprosy by 2030 will require disease elimination and interruption of transmission at the national or regional level. India and Brazil have reported the highest leprosy burden in the last few decades, revealing the need for strategies and tools to help health professionals correctly manage and control the disease. Objective: The main objective of this study was to develop a cross-platform app for leprosy screening based on artificial intelligence (AI) with the goal of increasing accessibility of an accurate method of classifying leprosy treatment for health professionals, especially for communities further away from major diagnostic centers. Toward this end, we analyzed the quality of leprosy data in Brazil on the National Notifiable Diseases Information System (SINAN). Methods: Leprosy data were extracted from the SINAN database, carefully cleaned, and used to build AI decision models based on the random forest algorithm to predict operational classification in paucibacillary or multibacillary leprosy. We used Python programming language to extract and clean the data, and R programming language to train and test the AI model via cross-validation. To allow broad access, we deployed the final random forest classification model in a web app via shinyApp using data available from the Brazilian Institute of Geography and Statistics and the Department of Informatics of the Unified Health System. Results: We mapped the dispersion of leprosy incidence in Brazil from 2014 to 2018, and found a particularly high number of cases in central Brazil in 2014 that further increased in 2018 in the state of Mato Grosso. For some municipalities, up to 80% of cases showed some data discrepancy. Of a total of 21,047 discrepancies detected, the most common was operational classification does not match the clinical form. After data processing, we identified a total of 77,628 cases with missing data. The sensitivity and specificity of the AI model applied for the operational classification of leprosy was 93.97% and 87.09%, respectively. Conclusions: The proposed app was able to recognize patterns in leprosy cases registered in the SINAN database and to classify new patients with paucibacillary or multibacillary leprosy, thereby reducing the probability of incorrect assignment by health centers. The collection and notification of data on leprosy in Brazil seem to lack specific validation to increase the quality of the data for implementations via AI. The AI models implemented in this work had satisfactory accuracy across Brazilian states and could be a complementary diagnosis tool, especially in remote areas with few specialist physicians.",CLASSIFICATION,Leprosy Screening Based on Artificial Intelligence: Development of a Cross-Platform App,Leprosy,Supervised learning,ml,Random Forest,Conselho de Desenvolvimento Tecnologico e Cientifico/CNPq/BRAZIL(Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ)); FAPEMIG(Fundacao de Amparo a Pesquisa do Estado de Minas Gerais (FAPEMIG)); Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior -Brasil (CAPES)(Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES)),"The authors thank Artur Jose Vilar Sette, Davi Metzker Junior, and Vladmir Machado Rios for helping in some aspects of app building, and Tillman Rauh for helping to translate some parts of this article. We are also grateful to all members of CREDEN-PES, Programa Multicentrico de Bioquimica e Biologia Molecular at Universidade Federal de Juiz de Fora Campus Governador Valadares, and to PROEX/PROPP/UFJF. This study received financial support from the Conselho de Desenvolvimento Tecnologico e Cientifico/CNPq/BRAZIL, FAPEMIG. This study was also financed in part by the Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior -Brasil (CAPES; Finance Code 001, file number: 88881.361990/2019-01 [Migrated-SICAPES3]). The funding sources had no role in the design of the study; in the collection, analysis, implementation, and interpretation of data; and in writing the manuscript.","Brazil, United States",Brazil,Leprosy,['Leprosy']
2021,prognosis,Fudan University; Fudan University; Fudan University; University of Ottawa,"Short-term prognosis of advanced schistosomiasis has not been well studied. We aimed to construct prognostic models using machine learning algorithms and to identify the most important predictors by utilising routinely available data under the government medical assistance programme. An established database of advanced schistosomiasis in Hunan, China was utilised for analysis. A total of 9541 patients for the period from January 2008 to December 2018 were enrolled in this study. Candidate predictors were selected from demographics, clinical features, medical examinations and test results. We applied five machine learning algorithms to construct 1 year prognostic models: logistic regression (LR), decision tree (DT), random forest (RF), artificial neural network (ANN) and extreme gradient boosting (XGBoost). An area under the receiver operating characteristic curve (AUC) was used to evaluate the model perfor-mance. The important predictors of the optimal model for unfavourable prognosis within 1 year were identified and ranked. There were 1249 (13.1%) cases having unfavourable prognoses within 1 year of dis-charge. The mean age of all participants was 61.94 years, of whom 70.9% were male. In general, XGBoost showed the best predictive performance with the highest AUC (0.846; 95% confidence interval (CI): 0.821, 0.871), compared with LR (0.798; 95% CI: 0.770, 0.827), DT (0.766; 95% CI: 0.733, 0.800), RF (0.823; 95% CI: 0.796, 0.851), and ANN (0.806; 95% CI: 0.778, 0.835). Five most important predictors identified by XGBoost were ascitic fluid volume, haemoglobin (HB), total bilirubin (TB), albumin (ALB), and platelets (PT). We proposed XGBoost as the best algorithm for the evaluation of a 1 year prognosis of advanced schistosomiasis. It is considered to be a simple and useful tool for the short-term prediction of an unfa-vourable prognosis for advanced schistosomiasis in clinical settings. (c) 2021 Australian Society for Parasitology. Published by Elsevier Ltd. All rights reserved.",JAPONICA; CANCER; LIVER,Machine learning algorithms to predict the 1 year unfavourable prognosis for advanced schistosomiasis,Schistosomiasis,Supervised learning,ml,"- Logistic regression (LR)
- Decision tree (DT)
- Random forest (RF)
- Artificial neural network (ANN)
- Extreme gradient boosting (XGBoost)","Fudan University, China; University of Ottawa, Canada","We sincerely appreciate the work of the staff at the Hunan Insti-tute for Schistosomiasis Control, China; Fudan University, China; and University of Ottawa, Canada. This research did not receive any specific grant from any funding agency in the public, commer-cial, or not-for-profit sector.","China, Canada",China,Schistosomiasis,['Schistosomiasis']
2021,diagnosis,Commonwealth Scientific & Industrial Research Organisation (CSIRO); Australian Centre for Disease Preparedness; Commonwealth Scientific & Industrial Research Organisation (CSIRO); Australian Centre for Disease Preparedness; Commonwealth Scientific & Industrial Research Organisation (CSIRO); Monash University; Australian Regenerative Medicine Institute,"Despite being vaccine preventable, rabies (lyssavirus) still has a significant impact on global mortality, disproportionally affecting children under 15 years of age. This neurotropic virus is deft at avoiding the immune system while travelling through neurons to the brain. Until recently, research efforts into the role of non-coding RNAs in rabies pathogenicity and detection have been hampered by a lack of human in vitro neuronal models. Here, we utilized our previously described human stem cell-derived neural model to investigate the effect of lyssavirus infection on microRNA (miRNA) expression in human neural cells and their secreted exosomes. Conventional differential expression analysis identified 25 cellular and 16 exosomal miRNAs that were significantly altered (FDR adjusted P-value <0.05) in response to different lyssavirus strains. Supervised machine learning algorithms determined 6 cellular miRNAs (miR-99b-5p, miR-346, miR-5701, miR-138-2-3p, miR-651-5p, and miR-7977) were indicative of lyssavirus infection (100% accuracy), with the first four miRNAs having previously established roles in neuronal function, or panic and impulsivity-related behaviors. Another 4-miRNA signatures in exosomes (miR-25-3p, miR-26b-5p, miR-218-5p, miR-598-3p) can independently predict lyssavirus infected cells with >99% accuracy. Identification of these robust lyssavirus miRNA signatures offers further insight into neural lineage responses to infection and provides a foundation for utilizing exosome miRNAs in the development of next-generation molecular diagnostics for rabies.",MILWAUKEE PROTOCOL; HUMAN RABIES; EXPRESSION; DIAGNOSIS; DISEASE; BURDEN; SERUM,Machine Learning Identifies Cellular and Exosomal MicroRNA Signatures of Lyssavirus Infection in Human Stem Cell-Derived Neurons,Lyssavirus,Supervised learning,ml,"- Logistic regression
- Linear Discriminant Analysis (LDA)",Commonwealth Scientific and Industrial Research Organisation (CSIRO) Probing Biosystems Future Science Platform,This study was supported through the Commonwealth Scientific and Industrial Research Organisation (CSIRO) Probing Biosystems Future Science Platform.,Australia,Australia,Lyssavirus,['Lyssavirus']
2021,diagnosis,Seoul National University (SNU); Seoul National University (SNU); Yonsei University; Yonsei University Health System; Yonsei University; Yonsei University Health System; Seoul National University (SNU),"Background: Rapid diagnosing is crucial for controlling malaria. Various studies have aimed at developing machine learning models to diagnose malaria using blood smear images; however, this approach has many limitations. This study developed a machine learning model for malaria diagnosis using patient information. Methods: To construct datasets, we extracted patient information from the PubMed abstracts from 1956 to 2019. We used two datasets: a solely parasitic disease dataset and total dataset by adding information about other diseases. We compared six machine learning models: support vector machine, random forest (RF), multilayered perceptron, AdaBoost, gradient boosting (GB), and CatBoost. In addition, a synthetic minority oversampling technique (SMOTE) was employed to address the data imbalance problem. Results: Concerning the solely parasitic disease dataset, RF was found to be the best model regardless of using SMOTE. Concerning the total dataset, GB was found to be the best. However, after applying SMOTE, RF performed the best. Considering the imbalanced data, nationality was found to be the most important feature in malaria prediction. In case of the balanced data with SMOTE, the most important feature was symptom. Conclusions: The results demonstrated that machine learning techniques can be successfully applied to predict malaria using patient information.",IMAGE-ANALYSIS; DIAGNOSIS; MICROSCOPY; DISEASE; EPIDEMIOLOGY; TOOLS; RDT,Machine learning model for predicting malaria using clinical information,Malaria,Supervised learning,ml,"- Support vector machine
- Random forest
- Multilayered perceptron
- AdaBoost
- Gradient boosting (GB)
- CatBoost",Korea Association of Health Promotion Fund,This work was supported by the Korea Association of Health Promotion Fund (Grant no. 2014-01).,Republic of Korea,Not explicitly stated,Malaria,['Malaria']
2021,drug discovery,University of Pretoria; University of Pretoria,"The rapid development of antimalarial resistance motivates the continued search for novel compounds with a mode of action (MoA) different to current antimalarials. Phenotypic screening has delivered thousands of promising hit compounds without prior knowledge of the compounds' exact target or MoA. Whilst the latter is not initially required to progress a compound in a medicinal chemistry program, identifying the MoA early can accelerate hit prioritization, hit-to-lead optimization and preclinical combination studies in malaria research. The effects of drug treatment on a cell can be observed on systems level in changes in the transcriptome, proteome and metabolome. Machine learning (ML) algorithms are powerful tools able to deconvolute such complex chemically-induced transcriptional signatures to identify pathways on which a compound act and in this manner provide an indication of the MoA of a compound. In this study, we assessed different ML approaches for their ability to stratify antimalarial compounds based on varied chemically-induced transcriptional responses. We developed a rational gene selection approach that could identify predictive features for MoA to train and generate ML models. The best performing model could stratify compounds with similar MoA with a classification accuracy of 76.6 +/- 6.4%. Moreover, only a limited set of 50 biomarkers was required to stratify compounds with similar MoA and define chemo-transcriptomic fingerprints for each compound. These fingerprints were unique for each compound and compounds with similar targets/MoA clustered together. The ML model was specific and sensitive enough to group new compounds into MoAs associated with their predicted target and was robust enough to be extended to also generate chemo-transcriptomic fingerprints for additional life cycle stages like immature gametocytes. This work therefore contributes a new strategy to rapidly, specifically and sensitively indicate the MoA of compounds based on chemo-transcriptomic fingerprints and holds promise to accelerate antimalarial drug discovery programs.",PLASMODIUM-FALCIPARUM; MECHANISM; REVEALS; CLASSIFICATION; METABOLISM; PREDICTION; RESISTANCE; BIOLOGY,Machine Learning Uses Chemo-Transcriptomic Profiles to Stratify Antimalarial Compounds With Similar Mode of Action,Malaria,Supervised learning,ml,"-  Support vector classification (SVC)
- Multinomial logistic regression (MLR)
- Random forest (RF)
- Gradient boosting machines (GBM) 
- Artificial neural networks (ANN)",South African Department of Science and Innovation; National Research Foundation South African Research Chairs Initiative Grant,This work was supported by the South African Department of Science and Innovation and National Research Foundation South African Research Chairs Initiative Grant (L-MB UID: 84627).,South Africa,Not explicitly stated,Malaria,['Malaria']
2021,diagnosis,Iowa State University,"Purpose: In conventional diagnosis, the visual inspection of the malaria parasite Plasmodium falciparum in infected red blood cells under a microscope, is done manually by pathologists, which is both laborious and error-prone. Recent studies on automating this process have been conducted using artificial intelligence and feature selection of positional and morphological features from blood smear cell images using convolutional neural network (CNN). However, most deep CNN models do not perform well as per the expectation on small datasets. Approach: In this context, we propose a comprehensive computer-aided diagnosis scheme for automating the detection of malaria parasites in thin blood smear images using deep CNN, where transfer learning is used for optimizing the feature selection process. As an extra layer of security, layer embeddings are extracted from the intermediate convolutional layers using the feature matrix to cross-check the selection of features in the intermediate layers. The proposal includes the utilization of the ResNet 152 model integrated with the Deep Greedy Network for training, which produces an enhanced quality of prediction. Results: The performance of the proposed hybrid model has been evaluated concerning the evaluation metrics such as accuracy, precision, recall, specificity, and F1-score, which has been further compared with the pre-existing deep learning algorithms. Conclusions: The comparative analysis of the results reported based on the accuracy metrics demonstrates promising outcomes concerning the other models. Lastly, the embedding extraction from the intermediate hidden layers and their visual analysis also provides an opportunity for manual verification of the performance of the trained model. (C) 2021 Society of Photo-Optical Instrumentation Engineers (SPIE)",,Malaria detection through digital microscopic imaging using Deep Greedy Network with transfer learning,Malaria,Supervised learning,ml,CNN (ResNet 152 model integrated with the Deep Greedy Network),,,"India, United States",Bangladesh,Malaria,['Malaria']
2021,diagnosis,Jimma University; Jimma University,"Background Manual microscopic examination of Leishman/Giemsa stained thin and thick blood smear is still the gold standard for malaria diagnosis. One of the drawbacks of this method is that its accuracy, consistency, and diagnosis speed depend on microscopists' diagnostic and technical skills. It is difficult to get highly skilled microscopists in remote areas of developing countries. To alleviate this problem, in this paper, we propose to investigate state-of-the-art one-stage and two-stage object detection algorithms for automated malaria parasite screening from microscopic image of thick blood slides. Results YOLOV3 and YOLOV4 models, which are state-of-the-art object detectors in accuracy and speed, are not optimized for detecting small objects such as malaria parasites in microscopic images. We modify these models by increasing feature scale and adding more detection layers to enhance their capability of detecting small objects without notably decreasing detection speed. We propose one modified YOLOV4 model, called YOLOV4-MOD and two modified models of YOLOV3, which are called YOLOV3-MOD1 and YOLOV3-MOD2. Besides, new anchor box sizes are generated using K-means clustering algorithm to exploit the potential of these models in small object detection. The performance of the modified YOLOV3 and YOLOV4 models were evaluated on a publicly available malaria dataset. These models have achieved state-of-the-art accuracy by exceeding performance of their original versions, Faster R-CNN, and SSD in terms of mean average precision (mAP), recall, precision, F1 score, and average IOU. YOLOV4-MOD has achieved the best detection accuracy among all the other models with a mAP of 96.32%. YOLOV3-MOD2 and YOLOV3-MOD1 have achieved mAP of 96.14% and 95.46%, respectively. Conclusions The experimental results of this study demonstrate that performance of modified YOLOV3 and YOLOV4 models are highly promising for detecting malaria parasites from images captured by a smartphone camera over the microscope eyepiece. The proposed system is suitable for deployment in low-resource setting areas.",DIAGNOSIS,Malaria parasite detection in thick blood smear microscopic images using modified YOLOV3 and YOLOV4 models,Malaria,Supervised learning,ml,"- YOLOV3
- YOLOV4",,,Ethiopia,Uganda,Malaria,['Malaria']
2021,diagnosis,Goethe University Frankfurt; Senckenberg Biodiversitat & Klima- Forschungszentrum (BiK-F); Leibniz Association; Senckenberg Gesellschaft fur Naturforschung (SGN); Fundacao Oswaldo Cruz; Fiocruz - Research Center Rene Rachou,"Trypanosoma cruzi, the causative agent of Chagas disease (American trypanosomiasis), colonizes the intestinal tract of triatomines. Triatomine bugs act as vectors in the life cycle of the parasite and transmit infective parasite stages to animals and humans. Contact of the vector with T. cruzi alters its intestinal microbial composition, which may also affect the associated metabolic patterns of the insect. Earlier studies suggest that the complexity of the triatomine fecal metabolome may play a role in vector competence for different T. cruzi strains. Using high-resolution mass spectrometry and supervised machine learning, we aimed to detect differences in the intestinal metabolome of the triatomine Rhodnius prolixus and predict whether the insect had been exposed to T. cruzi or not based solely upon their metabolic profile. We were able to predict the exposure status of R. prolixus to T. cruzi with accuracies of 93.6%, 94.2% and 91.8% using logistic regression, a random forest classifier and a gradient boosting machine model, respectively. We extracted the most important features in producing the models and identified the major metabolites which assist in positive classification. This work highlights the complex interactions between triatomine vector and parasite including effects on the metabolic signature of the insect. (C) 2021 The Authors. Published by Elsevier B.V. on behalf of Research Network of Computational and Structural Biotechnology.",RHODNIUS-PROLIXUS; REDUVIIDAE; HEMIPTERA; RESISTANCE; MICROBIOTA,Metabolites as predictive biomarkers for Trypanosoma cruzi exposure in triatomine bugs,trypanosomiasis,Supervised learning,ml," - Logistic regression
- Random forest classifier
- Gradient boosting machine model","LOEWE-Centre TBG - Hessen State Ministry of Higher Education, Research and the Arts (HMWK); Fundacao de Amparo a Pesquisa do Estado de Minas Gerais (FAPEMIG)(Fundacao de Amparo a Pesquisa do Estado de Minas Gerais (FAPEMIG)); Instituto Nacional de Ciencia e Tecnologia em Entomologia Molecular (INCTEM/CNPq)(Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ)); Vereinigung von Freunden und Forderern der Johann Wolfgang Goethe-Universitat Frankfurt am Main; CNPq(Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ))","We would like to thank Helge Bode for helpful discussions regarding methodology and for providing access to mass spectrometry facilities. This work was funded by the LOEWE-Centre TBG supported by the Hessen State Ministry of Higher Education, Research and the Arts (HMWK), Fundacao de Amparo a Pesquisa do Estado de Minas Gerais (FAPEMIG, CRA-APQ-00569-15 and CRA-PPM-00162-17), Instituto Nacional de Ciencia e Tecnologia em Entomologia Molecular (INCTEM/CNPq, 465678/2014-9) and the Vereinigung von Freunden und Forderern der Johann Wolfgang Goethe-Universitat Frankfurt am Main, AAG was supported by CNPq productivity grants.","Germany, Brazil",Bangladesh,trypanosomiasis,['trypanosomiasis']
